2,Clio,9305099214,1-2-4 STREET Whitefield,Banglore,545820,5,28,97,96,56.00,2.00
101,Colt,9903498628,40 Marathahalli,Banglore,581345,65,38,59,99,65.00,1.63
102,Ryan,9840360698,Aparatments kallur,Karnool,507715,3,57,86,62,52.00,1.50
103,Jenna,9017628789,11/2 Gandhinagar,Bhimavaram,552319,16,38,87,83,56.00,1.75
104,Noel,9100675961,4-5 Tirumala,Tirupati,513558,19,6,18,68,27.00,0.63
105,Colt,9118636946,3/4/16 Raayalam,Bhimavaram,534046,65,84,18,58,56.00,1.50
106,Echo,9952580979,90-90 kallur,Karnool,507105,27,25,85,51,47.00,0.88
107,Nichole,9145541944,10-12 gandhinagar,Rajahmundry,528941,65,35,73,51,56.00,1.38
108,Cooper,9119676610,23-1-1 Kondapur,Hyderabad,520944,25,18,60,22,31.00,0.00
109,Jin,9809108378,6th street 4th house morampudi,Rajahmundry,598635,44,26,50,1,30.00,0.00
110,Davis,9566557450,10th layout maddilapalem,Vizag,540006,82,6,11,27,31.00,0.88
111,Basia,9276822239,6/23 Rudraram,Hyderabad,522529,38,42,78,17,43.00,0.75
112,Hedwig,9241365384,4th street 4th house morampudi,Rajahmundry,597159,81,25,7,92,51.00,1.88
113,Ignatius,9708047364,32/64 Chandanagar,Hyderabad,570465,71,58,100,42,67.00,1.75
114,Chava,9492129127,11/12 Siddiq Nagar,Hyderabad,513959,19,8,95,8,32.00,1.00
115,Glenna,9791651769,1/23 Sainikpuri,Hyderabad,516909,12,70,28,86,49.00,1.50
116,Julie,9431965764,1-2 mvp colony,Vizag,503323,66,84,13,75,59.00,2.25
117,Ezekiel,9120143169,90123-123 camp,Karnool,535125,59,54,18,20,37.00,0.00
118,Drake,9692334056,6-9 gandhinagar,Rajahmundry,521772,8,47,4,22,20.00,0.00
119,Mohammad,9315431343,16/6 Raayalam,Bhimavaram,553277,9,64,12,11,24.00,0.63
120,Howard,9129236142,1/23 Srirampuram,Bhimavaram,533951,1,6,62,63,33.00,1.25
121,Jason,9209139286,10/1 Sivaraopeta,Bhimavaram,538004,71,94,32,52,62.00,1.75
122,Clio,9214777452,2nd street akkayapalem,Vizag,564799,27,75,93,18,53.00,1.75
123,Philip,9617707572,11/1/12 Maruthi Nagar,Bhimavaram,577440,3,26,33,42,26.00,0.00
124,Fulton,9978428889,41-775 Siddiq Nagar,Hyderabad,504960,12,63,38,31,36.00,0.63
125,Gil,9427072114,fifth Street jevakona,Tirupati,599434,26,77,6,42,37.00,0.75
126,Xantha,9989355743,2-1-111 Sivaraopeta,Bhimavaram,540346,47,54,10,38,37.00,0.00
127,Phyllis,9855964939,third Street jevakona,Tirupati,595734,100,41,57,52,62.00,1.00
128,Vera,9445659570,12/3 Adarsh Nagar,Bhimavaram,576921,78,85,52,66,70.00,2.25
129,Yuri,9040043959,34-15 Kondapur,Hyderabad,536152,11,20,72,56,39.00,0.75
130,Curran,9142991447,3rd layout kallur,Karnool,517662,62,18,7,17,26.00,0.63
131,Daniel,9367561115,1-2-3 rushikonda,Vizag,595488,100,99,27,58,71.00,2.00
132,Fatima,9633601517,1-1-3 A colony,Kakinada,585432,67,43,20,10,35.00,0.63
133,Kadeem,9761644113,4th street 4th house morampudi,Rajahmundry,540976,32,36,32,82,45.00,0.88
134,Oscar,9179363301,13/3 Pedamiram colony,Bhimavaram,559968,43,57,7,1,27.00,0.00
135,Brynne,9035874582,1/23 Rudraram,Hyderabad,534151,98,80,93,90,90.00,3.63
136,Susan,9371718498,2-3-4 AVB Nagar,Kakinada,590943,14,12,44,46,29.00,0.00
137,Hop,9119749530,1-1-2 kallur,Karnool,505883,14,22,87,43,41.00,0.88
138,Shellie,9840390322,2 Hebbal,Banglore,559452,79,34,85,40,59.00,1.63
139,Destiny,9195476226,09-90 c camp,Karnool,599246,90,30,44,25,47.00,0.88
140,Devin,9650796280,1/12 Chandanagar,Hyderabad,599513,29,1,87,52,42.00,0.88
141,Ciara,9080944499,1-4-5 Jayanagar,Banglore,533785,85,39,31,33,47.00,0.88
142,Valentine,9621005531,1-2 Sivaraopeta,Bhimavaram,596956,88,81,77,19,66.00,2.50
143,Elaine,9160940671,1-2-3-4 c camp,Karnool,574738,23,62,42,40,41.00,0.63
144,Jack,9523222918,2/11 Sainikpuri,Hyderabad,568087,11,33,10,34,22.00,0.00
145,Malachi,9587935756,3rd layot ramakrishna beach,Vizag,575945,81,62,90,65,74.00,3.00
146,Whilemina,9571473892,6th layout kallur,Karnool,523968,65,56,74,27,55.00,1.38
147,Briar,9694292869,3-9-324 Pedamiram colony,Bhimavaram,518437,45,91,70,94,75.00,2.63
148,MacKenzie,9613398877,3/1 Srirampuram,Bhimavaram,520839,82,87,55,16,60.00,1.75
149,Minerva,9221347179,21 Kaduhasanahalli,Banglore,573166,14,100,42,83,59.00,1.88
150,Morgan,9776085203,22/2 Narasimhapuram,Bhimavaram,551034,17,52,27,65,40.00,0.63
151,Dacey,9293473574,2/23 Rudraram,Hyderabad,535320,97,64,56,97,78.00,2.63
152,Ashton,9038920730,14-7 Siddiq Nagar,Hyderabad,529585,45,97,69,23,58.00,1.63
153,Perry,9855809690,12-1-09 Moula Ali,Hyderabad,520042,21,57,19,43,35.00,0.00
154,Iliana,9428969122,10123 ramakrishna beach,Vizag,576417,73,97,39,86,73.00,2.63
155,Jonah,9734315343,13/11 Narasimhapuram,Bhimavaram,551061,23,41,48,46,39.00,0.00
156,Burke,9846281877,123-123 ramakrishna beach,Vizag,588824,81,47,40,11,44.00,0.88
157,Dante,9287195722,4-5 K.B Layout,Tirupati,578292,79,50,2,58,47.00,0.75
158,Melvin,9321083513,12312 ramakrishna beach,Vizag,583624,5,81,1,33,30.00,0.88
159,Cheyenne,9491699900,1/2 Adarsh Nagar,Bhimavaram,500113,76,52,30,38,49.00,0.75
160,Jade,9819203541,1-1006 Maruthi Nagar,Bhimavaram,544481,58,36,44,97,58.00,1.00
161,Emi,9077636948,11/2 Sivaraopeta,Bhimavaram,588417,51,80,95,19,61.00,1.75
162,Ignatius,9766791349,3-9-270 Appartments street,Bhimavaram,588072,39,59,69,57,56.00,0.63
163,Wylie,9355626963,90123-123 camp,Karnool,542226,37,15,21,23,24.00,0.00
164,Palmer,9227359998,4-5 gandhinagar,Rajahmundry,506478,93,53,79,73,74.00,2.50
165,Marshall,9613523154,1st layout maddilapalem,Vizag,538551,67,40,96,26,57.00,1.63
166,Orli,9957681682,23-1-1 Kondapur,Hyderabad,594362,65,7,30,31,33.00,0.63
167,Josiah,9706494663,6/23 Rudraram,Hyderabad,557580,99,81,12,54,61.00,1.88
168,Maia,9490455794,3rd street 4th house morampudi,Rajahmundry,583718,73,61,63,44,60.00,2.00
169,Phyllis,9402753835,6/4 Bellandur,Banglore,510144,8,93,5,69,43.00,1.63
170,Avram,9165745058,1-2-3 aditya nagar,Rajahmundry,579131,49,18,71,17,38.00,0.75
171,Denton,9000055606,10-12 gandhinagar,Rajahmundry,533399,55,64,44,78,60.00,1.38
172,Hall,9243527929,2-3 gandhinagar,Rajahmundry,506440,97,23,57,39,54.00,1.00
173,Teegan,9578356758,7th layout kallur,Karnool,524600,58,92,11,20,45.00,1.00
174,Stewart,9361268142,1/12 Chandanagar,Hyderabad,526510,64,90,48,4,51.00,1.50
175,Hedwig,9815302216,6/23 Rudraram,Hyderabad,511465,71,54,23,18,41.00,0.75
176,Selma,9680649843,64 Kadubeesanahalli,Banglore,588458,68,58,62,42,57.00,1.25
177,Nomlanga,9689503417,4-5 K.B Layout,Tirupati,578535,58,88,80,25,62.00,1.63
178,John,9214854100,1/17 Gunupudi,Bhimavaram,540282,62,44,66,77,62.00,2.00
